artist,song,features
Queen,Keep Yourself Alive - Live At The Rainbow,"[{'danceability': 0.308, 'energy': 0.975, 'key': 9, 'loudness': -5.894, 'mode': 0, 'speechiness': 0.173, 'acousticness': 0.0194, 'instrumentalness': 9.14e-06, 'liveness': 0.975, 'valence': 0.295, 'tempo': 138.974, 'type': 'audio_features', 'id': '34pz8XUZRfw04lk4DPtwa7', 'uri': 'spotify:track:34pz8XUZRfw04lk4DPtwa7', 'track_href': 'https://api.spotify.com/v1/tracks/34pz8XUZRfw04lk4DPtwa7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/34pz8XUZRfw04lk4DPtwa7', 'duration_ms': 236083, 'time_signature': 4}]"
Queen,It's A Hard Life - Remastered 2011,"[{'danceability': 0.42, 'energy': 0.599, 'key': 3, 'loudness': -6.188, 'mode': 1, 'speechiness': 0.0291, 'acousticness': 0.422, 'instrumentalness': 0, 'liveness': 0.159, 'valence': 0.299, 'tempo': 82.336, 'type': 'audio_features', 'id': '34MoKBRdC9JDjcL4b4X1Ic', 'uri': 'spotify:track:34MoKBRdC9JDjcL4b4X1Ic', 'track_href': 'https://api.spotify.com/v1/tracks/34MoKBRdC9JDjcL4b4X1Ic', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/34MoKBRdC9JDjcL4b4X1Ic', 'duration_ms': 246973, 'time_signature': 4}]"
Queen,Save Me - Remastered 2011,"[{'danceability': 0.507, 'energy': 0.452, 'key': 7, 'loudness': -6.8, 'mode': 1, 'speechiness': 0.0269, 'acousticness': 0.359, 'instrumentalness': 0, 'liveness': 0.109, 'valence': 0.322, 'tempo': 81.632, 'type': 'audio_features', 'id': '1pBFEy8cz0Fq4Pru0c4awd', 'uri': 'spotify:track:1pBFEy8cz0Fq4Pru0c4awd', 'track_href': 'https://api.spotify.com/v1/tracks/1pBFEy8cz0Fq4Pru0c4awd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1pBFEy8cz0Fq4Pru0c4awd', 'duration_ms': 229920, 'time_signature': 3}]"
Queen,Breakthru - Remastered 2011,"[{'danceability': 0.569, 'energy': 0.864, 'key': 5, 'loudness': -5.697, 'mode': 1, 'speechiness': 0.0862, 'acousticness': 0.0614, 'instrumentalness': 0.00955, 'liveness': 0.353, 'valence': 0.318, 'tempo': 90.08, 'type': 'audio_features', 'id': '5Nuxdf0f5PpaeaPm4jrhiE', 'uri': 'spotify:track:5Nuxdf0f5PpaeaPm4jrhiE', 'track_href': 'https://api.spotify.com/v1/tracks/5Nuxdf0f5PpaeaPm4jrhiE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Nuxdf0f5PpaeaPm4jrhiE', 'duration_ms': 248387, 'time_signature': 4}]"
Queen,Ay-Oh - Live Aid,"[{'danceability': 0.215, 'energy': 0.87, 'key': 2, 'loudness': -10.92, 'mode': 1, 'speechiness': 0.351, 'acousticness': 0.881, 'instrumentalness': 0.112, 'liveness': 0.976, 'valence': 0.462, 'tempo': 144.877, 'type': 'audio_features', 'id': '6Fl9MoM9BDk6vwbHqBBZeK', 'uri': 'spotify:track:6Fl9MoM9BDk6vwbHqBBZeK', 'track_href': 'https://api.spotify.com/v1/tracks/6Fl9MoM9BDk6vwbHqBBZeK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Fl9MoM9BDk6vwbHqBBZeK', 'duration_ms': 41455, 'time_signature': 3}]"
Queen,Heaven For Everyone - Remastered 2011,"[{'danceability': 0.593, 'energy': 0.425, 'key': 0, 'loudness': -9.775, 'mode': 1, 'speechiness': 0.0288, 'acousticness': 0.29, 'instrumentalness': 1.34e-06, 'liveness': 0.167, 'valence': 0.268, 'tempo': 110.208, 'type': 'audio_features', 'id': '3Klfd4rsRO53fYpxmdQmYV', 'uri': 'spotify:track:3Klfd4rsRO53fYpxmdQmYV', 'track_href': 'https://api.spotify.com/v1/tracks/3Klfd4rsRO53fYpxmdQmYV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Klfd4rsRO53fYpxmdQmYV', 'duration_ms': 336160, 'time_signature': 4}]"
Queen,One Vision - Remastered 2011,"[{'danceability': 0.456, 'energy': 0.923, 'key': 2, 'loudness': -7.398, 'mode': 1, 'speechiness': 0.223, 'acousticness': 0.0444, 'instrumentalness': 0.000296, 'liveness': 0.361, 'valence': 0.338, 'tempo': 120.004, 'type': 'audio_features', 'id': '3ROPrLWea9uICOW4V2Px1y', 'uri': 'spotify:track:3ROPrLWea9uICOW4V2Px1y', 'track_href': 'https://api.spotify.com/v1/tracks/3ROPrLWea9uICOW4V2Px1y', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3ROPrLWea9uICOW4V2Px1y', 'duration_ms': 311027, 'time_signature': 4}]"
Queen,Tie Your Mother Down - Remastered 2011,"[{'danceability': 0.331, 'energy': 0.887, 'key': 2, 'loudness': -5.588, 'mode': 1, 'speechiness': 0.0648, 'acousticness': 0.114, 'instrumentalness': 0.000103, 'liveness': 0.367, 'valence': 0.196, 'tempo': 135.035, 'type': 'audio_features', 'id': '4mLKx7zsUdyT4Ax7rI7KXu', 'uri': 'spotify:track:4mLKx7zsUdyT4Ax7rI7KXu', 'track_href': 'https://api.spotify.com/v1/tracks/4mLKx7zsUdyT4Ax7rI7KXu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4mLKx7zsUdyT4Ax7rI7KXu', 'duration_ms': 287427, 'time_signature': 4}]"
Queen,Play The Game - Remastered 2011,"[{'danceability': 0.242, 'energy': 0.7, 'key': 5, 'loudness': -5.772, 'mode': 1, 'speechiness': 0.0346, 'acousticness': 0.341, 'instrumentalness': 0, 'liveness': 0.122, 'valence': 0.273, 'tempo': 156.706, 'type': 'audio_features', 'id': '5p6xhgQCwzX0G9PadMU9GA', 'uri': 'spotify:track:5p6xhgQCwzX0G9PadMU9GA', 'track_href': 'https://api.spotify.com/v1/tracks/5p6xhgQCwzX0G9PadMU9GA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5p6xhgQCwzX0G9PadMU9GA', 'duration_ms': 212533, 'time_signature': 4}]"
Queen,You Don't Fool Me - Remastered 2011,"[{'danceability': 0.591, 'energy': 0.829, 'key': 4, 'loudness': -6.499, 'mode': 0, 'speechiness': 0.036, 'acousticness': 0.101, 'instrumentalness': 8.63e-05, 'liveness': 0.385, 'valence': 0.574, 'tempo': 121.964, 'type': 'audio_features', 'id': '1chxAv59LZcOE5FyrlUze2', 'uri': 'spotify:track:1chxAv59LZcOE5FyrlUze2', 'track_href': 'https://api.spotify.com/v1/tracks/1chxAv59LZcOE5FyrlUze2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1chxAv59LZcOE5FyrlUze2', 'duration_ms': 324853, 'time_signature': 4}]"
