artist,song,features
ABRA,Fruit,spotify:track:4SExof7SNMmYgTmgE8TBrE
Jamie xx,Obvs,spotify:track:5kSBstWdaP3tMlArgGM00C
SZA,Doves In The Wind (feat. Kendrick Lamar),spotify:track:593W4qZOwwdqF6YnimJjL6
Gorillaz,Andromeda (feat. DRAM) - Bonobo Remix,spotify:track:70HugOq2RkgM8k0lw8yezC
Nicolas Jaar,Time for Us,spotify:track:798mI116dJdZ12n9CkdflI
Frank Ocean,Lost,spotify:track:4L7jMAP8UcIe309yQmkdcO
Totally Enormous Extinct Dinosaurs,Trouble,spotify:track:5WXdaG8d8N7S4rDpbGqBMY
Star Slinger,I'm Like,spotify:track:7mzkh49XQFbI0euVU7Ix9O
Totally Enormous Extinct Dinosaurs,Closer,spotify:track:056lVdpmEhXkXPEXKPXlie
Kid Cudi,By Design,spotify:track:5FxVTEpoBress37MmlMhbZ
Kali Uchis,Rush,spotify:track:1mObaffqm7cPSUUbNZuiNJ
Beyoncé,Party (feat. André 3000),spotify:track:42qh86p7TLXyumxSHn65kc
"Tyler, The Creator","FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis)",spotify:track:46CA1H0T1r7u5lDUtVveAh
Anderson .Paak,Lite Weight,spotify:track:3MANUf7LqfyIw7f9lPQf0l
Isaiah Rashad,Wat's Wrong (feat. Zacari & Kendrick Lamar),spotify:track:2RPbEp0DyBVlkRvvYKopO7
Baba Stiltz,Freeeze,spotify:track:0GUTcesmzf8iwQCLXzHQEq
Birdy Nam Nam,CADILLAC DREAMS,spotify:track:1CKpqV7rC3cPNVRnEWsurC
Channel Tres,"fuego (feat. Tyler, The Creator)",spotify:track:6UYbt0ZVXP5pnrhzk8z2d8
Oklou,god's chariots,spotify:track:28Ykh9f8Fg5TCEZ4lp5p6N
Ojerime,Give It Up 2 Me,spotify:track:3X7wVYr4XpzGgoXmQVnrJo
Coco Bryce,Only When I'm Dreaming,spotify:track:2alAvEUTZm8iFJEDgSWyQ7
Friendzone,Follow Me,spotify:track:1N1MBeJ2wDFLOSaSwdK3uN
Action Bronson,Golden Eye,spotify:track:4qMrWP8cIjPRW2GnKu8DNI
420,Untitled 5,spotify:track:65mYMqSLZeu3FSp33Tc4Ck
Tom Misch,Nightrider,spotify:track:5TgZ7lOUugOdabBcD9a6ud
Mansur Brown,It's My Time,spotify:track:3gpp6RalVXdsAPSQ4HuXbu
Yaeji,WHAT WE DREW 우리가 그려왔던,spotify:track:3UQFh2pOHS3h2ivIm7Zcyf
Thundercat,Dragonball Durag - Remix,spotify:track:1PrVLmXkJjh2vEhmBEKLeM
Dinamarca,Harpeggio,spotify:track:76W1X3oILEv7HBbM3B1WR0
DJ Phil,Vivid Dreams,spotify:track:1VTuWhyV0FnKQ8fUB4Fc2q
Jai Paul,Genevieve - Unfinished,spotify:track:72GKPVtBchtCDoL8LURCrB
RYBA,Girls,spotify:track:6C3VDfddHjQIduHgiZlPSh
Solange,Almeda,spotify:track:6IAgarq2wDeYzpsY2Kx0Hw
dreamcastmoe,Used2,spotify:track:0ekX7Wy3lZwuahtxx00PWy
Les Sins,Toy,spotify:track:5c1B25YNpZvOOnAATiL49D
LiloCox,Fronteiras,spotify:track:4PpN2TT1Ruyr6674G9yNod
Yaeji,One More,spotify:track:31FUO6PYWcal7MF4EqSdLs
