artist,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
myd,moving men - metronomy remix,0.923,0.482,-5.626,0.0631,0.0381,0.143,0.167,0.581,124.99,3
bruxas,hermes,0.865,0.543,-9.286,0.0706,0.0849,0.82,0.0639,0.863,100.011,4
liquid monk,nighttime,0.835,0.527,-10.313,0.0415,0.112,0.783,0.0999,0.634,128.037,4
kali uchis,"after the storm (feat. tyler, the creator & bootsy collins)",0.702,0.659,-6.766,0.13,0.301,0.00201,0.218,0.843,79.64,3
partynextdoor,never played me,0.768,0.676,-3.861,0.0783,0.0617,2.88e-05,0.181,0.45,146.99,3
sango,na hora (feat. faktiss & chris mc clenney),0.789,0.616,-9.982,0.365,0.314,0.0,0.114,0.367,123.985,2
fatima yamaha,what's a girl to do,0.808,0.521,-9.381,0.168,0.123,0.906,0.336,0.765,120.021,4
toro y moi,inside my head,0.821,0.882,-6.463,0.0525,0.16,0.0179,0.197,0.665,112.997,3
fatima yamaha,love invaders,0.84,0.566,-7.164,0.0448,0.00506,0.44,0.101,0.723,117.991,3
les sins,grind,0.731,0.674,-8.281,0.0447,0.0501,0.869,0.176,0.765,120.015,4
myth syzer,le code,0.646,0.446,-7.887,0.0784,0.394,3.47e-06,0.0579,0.565,123.8,3
frank ocean,crack rock,0.429,0.736,-8.017,0.222,0.0696,0.0,0.0852,0.379,89.261,0
dj koze,homesick,0.793,0.456,-10.302,0.264,0.112,0.000416,0.311,0.602,97.008,2
romare,motherless child,0.702,0.495,-11.645,0.0493,0.391,0.8,0.112,0.31,78.507,4
the knife,pass this on,0.745,0.835,-5.884,0.03,0.0277,0.000442,0.0781,0.686,129.961,3
gorillaz,o green world,0.672,0.768,-7.718,0.0347,0.00201,0.905,0.136,0.858,122.583,4
outkast,spottieottiedopaliscious,0.828,0.656,-6.571,0.222,0.00259,0.0024,0.144,0.709,124.751,3
abra,fruit,0.724,0.528,-12.726,0.0354,0.00584,0.0415,0.106,0.607,120.008,3
jamie xx,obvs,0.652,0.392,-12.603,0.0381,0.857,0.926,0.0817,0.407,76.03,1
sza,doves in the wind (feat. kendrick lamar),0.693,0.713,-4.489,0.351,0.343,0.0,0.102,0.615,137.335,2
gorillaz,andromeda (feat. dram) - bonobo remix,0.76,0.686,-6.161,0.0584,0.0674,0.192,0.171,0.555,129.984,3
nicolas jaar,time for us,0.828,0.271,-13.061,0.0532,0.395,0.819,0.065,0.233,113.995,4
frank ocean,lost,0.913,0.603,-4.892,0.226,0.0272,0.000503,0.167,0.497,123.061,3
totally enormous extinct dinosaurs,trouble,0.732,0.917,-6.892,0.0596,0.00878,0.894,0.389,0.273,126.988,4
star slinger,i'm like,0.565,0.579,-9.976,0.0549,0.0544,0.0459,0.11,0.248,119.881,0
totally enormous extinct dinosaurs,closer,0.804,0.65,-9.844,0.119,0.212,0.849,0.153,0.12,131.047,4
kid cudi,by design,0.756,0.85,-5.885,0.0538,0.0559,0.000809,0.111,0.415,100.005,3
kali uchis,rush,0.74,0.648,-4.987,0.0324,0.00824,0.000595,0.113,0.443,118.004,3
beyoncé,party (feat. andré 3000),0.648,0.593,-6.267,0.0509,0.0188,0.0,0.169,0.719,160.984,3
"tyler, the creator","fucking young / perfect (feat. charlie wilson, chaz bundick, sydney bennett & kali uchis)",0.232,0.705,-6.928,0.0997,0.032,6.6e-05,0.185,0.352,74.28,0
anderson .paak,lite weight,0.655,0.855,-9.347,0.257,0.0114,0.000199,0.476,0.508,120.014,5
isaiah rashad,wat's wrong (feat. zacari & kendrick lamar),0.706,0.688,-6.357,0.269,0.151,0.0,0.466,0.313,125.966,5
baba stiltz,freeeze,0.788,0.753,-9.978,0.1,0.147,0.923,0.372,0.806,104.996,4
birdy nam nam,cadillac dreams,0.759,0.846,-5.416,0.0725,0.00119,0.0702,0.0852,0.443,140.038,3
channel tres,"fuego (feat. tyler, the creator)",0.745,0.504,-10.405,0.307,0.0162,0.00122,0.432,0.434,114.901,2
oklou,god's chariots,0.67,0.475,-14.656,0.0837,0.93,0.811,0.136,0.0529,94.262,1
ojerime,give it up 2 me,0.383,0.411,-12.517,0.0958,0.634,0.0155,0.124,0.165,134.406,6
coco bryce,only when i'm dreaming,0.683,0.581,-10.284,0.0507,0.0113,0.851,0.123,0.922,163.019,4
