artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
Gerald Wilson Orchestra,One On The House,0.559,0.203,7.0,-14.095,1.0,0.038,0.644,0.018,0.12,0.559,118.873,spotify:track:3r1Um7lHFRo2EPko3SB8GT,281173.0,4.0
Aretha Franklin,The Weight,0.525,0.615,3.0,-10.893,1.0,0.315,0.675,2.52e-05,0.114,0.728,171.59,spotify:track:39lw4tu2jDKW5kf7HGyqmM,179827.0,4.0
Four Tops,Reach Out I'll Be There,0.607,0.599,3.0,-8.908,0.0,0.0282,0.0253,0.0,0.188,0.735,119.842,spotify:track:6Pkj4nv5K53i64cLVgkVyY,178533.0,4.0
Vicente Fernández,Mesa Para Uno,0.609,0.399,9.0,-5.701,0.0,0.029,0.558,0.000394,0.148,0.37,101.607,spotify:track:7Bz1d03sAVHKm9IYQIU3L5,129373.0,4.0
Gustav Mahler,Symphony No. 5 in C-Sharp Minor: IV. Adagietto,0.143,0.029,5.0,-25.359,1.0,0.0408,0.918,0.928,0.126,0.0368,87.653,spotify:track:3XsII0AF0Ln9cpkxYDxBsG,660360.0,4.0
Jan & Dean,Ride The Wild Surf,0.462,0.616,9.0,-12.356,1.0,0.0518,0.808,0.0,0.233,0.701,146.13,spotify:track:6sQHUufn3e8x76LNNMMUN5,138600.0,4.0
Bill Deal & The Rhondels,What Kind Of Fool Do You Think I Am,0.628,0.502,3.0,-8.04,1.0,0.0338,0.0546,0.00731,0.112,0.96,135.764,spotify:track:6LQHfGK9wkx2kWxAPDbPil,126960.0,4.0
Giovanni Fusco,Titoli 2,0.538,0.0785,10.0,-22.083,0.0,0.042,0.751,0.776,0.138,0.151,124.595,spotify:track:4iHTZMZzw6Hn0u1oDNDJOo,126813.0,4.0
Jackie Wilson,(You Were Made For) All My Love,0.321,0.468,2.0,-4.934,1.0,0.0317,0.898,8.29e-06,0.113,0.411,76.99,spotify:track:5ZPv7iC9p3qaTgaFbouI3O,125867.0,4.0
Milton Nascimento,Tres Pontas,0.348,0.524,7.0,-14.179,1.0,0.0417,0.657,6.72e-05,0.0931,0.348,86.311,spotify:track:03vfFHR7mXS1IjTJ0gwGVZ,160173.0,5.0
Ennio Morricone,Gli Intoccabili: La ballata di Hank McCain - Soundtrack,0.492,0.243,7.0,-12.891,1.0,0.0376,0.845,0.00378,0.111,0.515,96.406,spotify:track:3SljTgKsl71vPKlBw7f5wk,269413.0,4.0
Gene Pitney,If I Didn't Have A Dime (To Play The Jukebox),0.7,0.344,9.0,-13.3,1.0,0.0458,0.814,0.0,0.141,0.704,110.782,spotify:track:4Weq7NHF6XL9tTAyOMq52m,149587.0,4.0
Traditional,The Coventry Carol,0.16,0.0761,5.0,-21.181,1.0,0.0444,0.991,0.00396,0.105,0.0653,85.626,spotify:track:3idX1Fh6MJ2uvbUmO4Ani8,108533.0,3.0
The Fleetwoods,Mr. Blue,0.374,0.0889,4.0,-17.475,1.0,0.0356,0.931,6.88e-06,0.111,0.211,96.677,spotify:track:6bnFjTW3EnMG4BwreDnSHK,145133.0,4.0
Jean Prodromidès,Les grands voiliers - Goëmons,0.146,0.0528,8.0,-21.668,0.0,0.0388,0.887,0.596,0.103,0.0384,138.459,spotify:track:3rVVBKYEVG6qN0536DNQSm,284347.0,3.0
